ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,mid,final,prof
40027008,40.0,33.0,0.0,35.0,40.0,40,35,0.0,2.2,4.93,Dr. Kiani
40113901,37.0,33.0,38.0,0.0,40.0,40,40,40.0,3.1,8.78,Dr. Kiani
40122045,24.0,32.0,40.0,20.0,15.0,40,35,18.0,4.3,7.54,Dr. Kiani
40122046,0.0,36.0,40.0,40.0,40.0,40,35,40.0,0.1,4.709999999999999,Dr. Kiani
40122047,0.0,0.0,0.0,0.0,0.0,40,0,0.0,1.1,1.5,Dr. Kiani
40122048,0.0,0.0,0.0,35.0,35.0,40,0,0.0,2.1,4.4,Dr. Kiani
40122049,24.0,33.0,40.0,35.0,40.0,40,25,34.0,2.6,10.51,Dr. Kiani
40122050,40.0,34.5,40.0,35.0,40.0,40,35,40.0,5.8,15.245000000000001,Dr. Kiani
40122051,40.0,34.5,40.0,30.0,35.0,40,35,40.0,4.3,10.945,Dr. Kiani
40122052,37.0,36.0,40.0,40.0,0.0,40,35,40.0,2.9,11.18,Dr. Kiani
40124032,40.0,40.0,40.0,35.0,35.0,40,40,40.0,5.7,13.7,Dr. Kiani
40124033,0.0,29.0,0.0,0.0,35.0,40,0,0.0,4.6,7.9399999999999995,Dr. Kiani
40124034,20.0,16.0,40.0,31.0,35.0,40,40,40.0,4.4,8.52,Dr. Kiani
40124035,0.0,38.0,40.0,40.0,35.0,40,35,40.0,3.7,8.879999999999999,Dr. Kiani
40124043,33.0,32.5,40.0,0.0,35.0,40,40,20.0,4.3,9.204999999999998,Dr. Kiani
40124044,20.0,35.0,40.0,34.0,35.0,40,35,40.0,2.5,7.1899999999999995,Dr. Kiani
40124045,29.0,20.0,0.0,40.0,0.0,40,0,0.0,5.2,12.29,Dr. Kiani
40124048,40.0,37.5,40.0,40.0,40.0,40,40,40.0,3.5,11.575,Dr. Kiani
40124050,40.0,33.5,40.0,35.0,40.0,40,40,34.0,2.9,10.125,Dr. Kiani
40125036,38.0,30.0,0.0,30.0,0.0,40,0,0.0,3.4,7.58,Dr. Kiani
40125901,30.0,34.0,40.0,35.0,35.0,40,35,40.0,3.8,9.39,Dr. Kiani
40132009,20.0,38.0,40.0,36.0,30.0,40,40,40.0,1.7,6.54,Dr. Kiani
40133001,40.0,32.0,40.0,10.0,40.0,40,20,15.0,6.0,13.07,Dr. Kiani
40133003,40.0,35.0,40.0,36.0,35.0,40,35,0.0,4.3,9.91,Dr. Kiani
40133006,0.0,35.5,38.0,40.0,35.0,40,25,26.0,4.5,7.395,Dr. Kiani
40133008,20.0,37.5,40.0,35.0,40.0,40,25,40.0,6.2,17.975,Dr. Kiani
